-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.38	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.38	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78
-0.34	0.19	-0.78

